Dataset 0,,Dataset 1,,Dataset 2,
X,Y,X,Y,X,Y
2.0068281106162384,316.39636574948145,2.5473556502721735,371.08266995470785,2.0765735996041013,285.54747539079835
2.0765735996041013,201.93983450720225,4.325865619462666,535.8885096215081,3.0050604217550205,367.287798646591
2.9733013151623346,388.79649489848543,6.278739311122813,674.672374604077,4.1689382692399715,470.83357291092943
3.5412288683492132,487.09730708857387,7.427048969101548,744.064307095362,4.94610228939044,517.3013848470573
4.692029436648943,576.4985610226577,8.761678719090717,829.0694243971857,5.960525517615693,570.584475867151
5.842830004948674,659.295753199759,9.933402934086804,905.4005501375987,7.066863336685657,639.1090092022941
6.7843941062848145,724.1141265041178,11.17835991252015,969.9823600357367,8.259511198378107,718.0423324111298
8.772140542438894,854.4605633314968,12.33962230416806,1040.7148184956031,9.358002649936939,785.2657670120625
9.922941110738627,925.8238575412834,13.438113755726892,1110.1067509868872,10.550650511629389,856.8261973936997
11.073741679038356,991.6673389392636,14.630761617419338,1169.9572927606205,11.666578335435187,911.7614772826328
12.33962230416806,1069.338990648258,15.802485832415428,1245.854718922963,12.852251648228847,985.3589814400557
13.438113755726892,1136.1287256711194,16.9323627540188,1320.4904735854639,14.003052216528577,1051.9910075254365
14.630761617419338,1206.1514939123244,18.093625145666714,1394.613674201154,15.227085548265563,1120.5155408605797
15.781562185719071,1282.6403285902175,19.23396389061826,1463.2170620050379,16.419733409958013,1194.6781687106404
16.9323627540188,1359.917707955512,20.384764458917992,1536.9459902770277,17.633304918346816,1267.9733974045598
18.093625145666714,1426.707442978373,21.50069228272379,1616.7642358572798,18.815490956691086,1342.5697248326906
19.23396389061826,1501.0672070002834,22.68636559551745,1697.414834163123,19.997676995035356,1423.237846353809
20.384764458917992,1578.344586365578,23.83716616381718,1775.875030559518,21.117092093290548,1494.3645771573756
21.53556502721772,1654.4391486997702,24.946119438724196,1857.3711240024077,22.23301991709635,1576.7674969907757
22.68636559551745,1736.4477961894704,26.080646059593427,1941.0751425700196,23.430317478054647,1656.7609747237843
23.84762798716536,1819.6392607102716,27.18494963523458,2025.4494241219222,24.57995562153792,1732.0319459400248
24.98796673211691,1899.2822741377686,28.440368437016105,2114.9492461419313,25.708670118324825,1814.8203765094881
26.086458183675745,1985.3124995332137,29.601630828664014,2195.65679489742,26.8710949347892,1902.4364528873725
27.18494963523458,2072.3678330222792,30.70012228022285,2272.4216202159027,27.987022758594996,1981.5537698566022
28.33575020353431,2151.6165741060754,31.892770141915292,2353.089741737021,29.141310601344117,2061.643625273626
29.43424165509314,2240.7615510167543,33.00869796572109,2434.528884730265,30.323496639688386,2153.9822081682787
30.532733106651975,2322.730771272084,34.19437127851475,2511.587223904614,31.505682678032656,2245.53224637553
31.683533674951704,2407.8935975113877,35.35563367016267,2598.56370292494,32.625097776287845,2319.970864866181
32.83433424325143,2493.8449684380926,36.454125121721496,2671.858931618859,33.74102560009365,2400.314806904701
33.98513481155116,2580.1906117084977,37.646772983413946,2746.1792684064,34.92669891288731,2478.8626193774744
35.12547355650271,2653.6435493398967,38.762700807219744,2796.908976629195,36.07749948118704,2558.856097110483
36.28673594815063,2721.3401107532695,39.948374120013405,2857.364069329935,37.216675801322125,2647.0416779848238
37.43753651645036,2793.886221994158,41.099174688313134,2915.716376197606,38.35817697109014,2716.963687738194
38.69295531823188,2857.7583416736356,42.20812796322015,2965.907245550677,39.477592069345334,2778.549027824209
39.84375588653161,2929.1216358834226,43.40077582491259,3020.592819621934,40.64931628434142,2848.3746598935645
40.99455645483134,2991.810938531799,44.49926727647143,3072.1636421779567,41.841964146033874,2903.8882058865915
42.14535702313107,3028.083994152243,45.91161342847564,3119.9494502344546,42.97067864282078,2961.232927875917
43.2961575914308,3076.9737647711027,47.0937994668199,3159.7709569482035,44.13310345928515,3013.4959174353253
44.44695815973053,3118.372360859653,48.19229091837874,3190.12992741314,45.23159491084398,3057.157636776716
45.17928579410309,3124.4967245984667,49.384938780071195,3225.6932928149236,46.43470459588461,3105.7556458612376
,,50.514815701674564,3244.5395108438065,47.59596698753252,3144.1577721376643
,,51.665616269974294,3267.013034434734,48.7676912025286,3178.8537383833063
,,52.847802308318556,3289.880830369362,49.8871063007838,3202.7466424115555
,,53.96721740657375,3306.8345411484825,51.058830515779896,3225.6932928149236
,,55.11801797487348,3311.565809272888,52.18870743738326,3244.5395108438065
,,56.26881854317321,3311.565809272888,53.339508005682994,3250.847868343014
,,57.31500087799115,3312.529586113045,54.490308573982716,3260.3104045918258
,,,,55.641109142282446,3268.1958514658354
,,,,56.791909710582175,3268.1958514658354
,,,,57.94271027888192,3268.1958514658354
,,,,59.09351084718165,3268.1958514658354
,,,,60.24431141548138,3268.5901238095357
,,,,61.395111983781106,3268.1958514658354
,,,,62.545912552080836,3268.1958514658354
,,,,63.696713120380565,3268.1958514658354
,,,,64.8475136886803,3266.618762091033
,,,,65.52753220631195,3224.8258936587827
